METHOD,SIZE,TIME
CUDA CORE,128 x 128, 57722
CUTENSOR,128 x 128, 20656
CUBLAS,128 x 128, 605897
CUDA CORE,128 x 128, 58091
CUTENSOR,128 x 128, 21099
CUBLAS,128 x 128, 136553
CUDA CORE,128 x 128, 55948
CUTENSOR,128 x 128, 20572
CUBLAS,128 x 128, 139658
CUDA CORE,128 x 128, 59791
CUTENSOR,128 x 128, 20769
CUBLAS,128 x 128, 135926
CUDA CORE,128 x 128, 56362
CUTENSOR,128 x 128, 20472
CUBLAS,128 x 128, 140161
CUDA CORE,128 x 128, 56447
CUTENSOR,128 x 128, 20146
CUBLAS,128 x 128, 137387
CUDA CORE,128 x 128, 55835
CUTENSOR,128 x 128, 20581
CUBLAS,128 x 128, 140962
CUDA CORE,128 x 128, 55596
CUTENSOR,128 x 128, 21330
CUBLAS,128 x 128, 139074
CUDA CORE,128 x 128, 56896
CUTENSOR,128 x 128, 20598
CUBLAS,128 x 128, 137521
CUDA CORE,128 x 128, 57377
CUTENSOR,128 x 128, 41134
CUBLAS,128 x 128, 139281
CUDA CORE,128 x 128, 74684
CUTENSOR,128 x 128, 20437
CUBLAS,128 x 128, 137551
CUDA CORE,128 x 128, 57280
CUTENSOR,128 x 128, 21095
CUBLAS,128 x 128, 140377
CUDA CORE,128 x 128, 56546
CUTENSOR,128 x 128, 21213
CUBLAS,128 x 128, 180674
CUDA CORE,128 x 128, 57047
CUTENSOR,128 x 128, 20219
CUBLAS,128 x 128, 172292
CUDA CORE,128 x 128, 56412
CUTENSOR,128 x 128, 21672
CUBLAS,128 x 128, 137351
CUDA CORE,128 x 128, 56148
CUTENSOR,128 x 128, 20888
CUBLAS,128 x 128, 136855
CUDA CORE,128 x 128, 57092
CUTENSOR,128 x 128, 21147
CUBLAS,128 x 128, 139251
CUDA CORE,128 x 128, 56870
CUTENSOR,128 x 128, 28545
CUBLAS,128 x 128, 139499
CUDA CORE,128 x 128, 56541
CUTENSOR,128 x 128, 20191
CUBLAS,128 x 128, 138395
CUDA CORE,128 x 128, 56710
CUTENSOR,128 x 128, 20621
CUBLAS,128 x 128, 138656
CUDA CORE,128 x 128, 58601
CUTENSOR,128 x 128, 20641
CUBLAS,128 x 128, 141028
CUDA CORE,128 x 128, 56393
CUTENSOR,128 x 128, 20681
CUBLAS,128 x 128, 136650
CUDA CORE,128 x 128, 57770
CUTENSOR,128 x 128, 20118
CUBLAS,128 x 128, 140921
CUDA CORE,128 x 128, 56479
CUTENSOR,128 x 128, 21142
CUBLAS,128 x 128, 150715
CUDA CORE,128 x 128, 57232
CUTENSOR,128 x 128, 21632
CUBLAS,128 x 128, 142080
CUDA CORE,128 x 128, 56807
CUTENSOR,128 x 128, 22193
CUBLAS,128 x 128, 146166
CUDA CORE,128 x 128, 56546
CUTENSOR,128 x 128, 22224
CUBLAS,128 x 128, 150495
CUDA CORE,128 x 128, 57616
CUTENSOR,128 x 128, 21195
CUBLAS,128 x 128, 171222
CUDA CORE,128 x 128, 57391
CUTENSOR,128 x 128, 20564
CUBLAS,128 x 128, 139179
CUDA CORE,128 x 128, 56711
CUTENSOR,128 x 128, 20433
CUBLAS,128 x 128, 151045
CUDA CORE,128 x 128, 56007
CUTENSOR,128 x 128, 20386
CUBLAS,128 x 128, 140397
CUDA CORE,128 x 128, 57803
CUTENSOR,128 x 128, 23870
CUBLAS,128 x 128, 150048
CUDA CORE,128 x 128, 58093
CUTENSOR,128 x 128, 20961
CUBLAS,128 x 128, 138068
